Noticias,links
"La megaobra, la más extensa de su tipo en Latinoamérica, duró más de una década en construcción. Conductores confían en que mejore la movilidad del centro y occidente del país. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/economia/por-fin-vera-la-luz-el-tunel-de-la-linea-empieza-a-funcionar-este-4-de-septiembre
"Una bacteria acabó con la vida de Miguel Durán Junior, aseguró su familia. Dijo que la adquirió en una de las clínicas donde se recuperaba del coronavirus. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/caribe/acordeonero-que-le-canto-a-la-pandemia-y-sobrevivio-al-covid-perdio-la-batalla-contra-otro-enemigo
"“Dame la parada que me bajo, prefiero llegar tarde”, dijo el ciudadano que grabó el video, consciente de los riesgos de andar así en época de coronavirus.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/el-periodista-soy-yo/bus-del-sitp-repleto-de-pasajeros-una-imagen-que-preocupa-en-bogota
"En la demanda, Daisy Milena Gómez Otálvaro pidió una inspección a las montañas de Suba, en Bogotá, y a las logias masonas de la capital y de Manizales.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/tutela-dice-que-el-cartel-de-medellin-lo-creo-el-clero-ruso-ortodoxo
"Una rápida acción de los médicos le salvó la vida a la pequeña. La responsable del accidente, que en tenía tres condenas previas por manejar drogada, fue acusada de asesinato.  ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/bebe-milagro-su-mama-murio-tras-ser-arrollada-por-conductora-ebria
Senado eliminó el apartado que permitiría incentivos económicos y tributarios para exploración y explotación de yacimientos no convencionales en Colombia. ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/politica/derrotamos-al-gobierno-se-cayo-el-mico-de-la-ley-de-regalias-que-daba-luz-verde-al-fracking
"El ciclista colombiano se mantuvo en el quinto puesto de la general a 13 segundos de líder, el británico Adam Yates. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/tour-de-francia/ciclismo-egan-bernal-envio-un-mensaje-tras-la-etapa-6-del-tour-de-francia-hay-que-tener-paciencia
Es la segunda vez en la competición que el ciclista colombiano se va al suelo. En esta ocasión se tropezó con una caramañola que estaba en el suelo.  ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/tour-de-francia/el-debut-en-el-tour-de-francia-todavia-no-le-sonrie-a-dayer-quintana-volvio-a-caerse-en-la-etapa-6
Van dos jornadas con llegada en alto en la ronda gala y las diferencias entre los favoritos al título son mínimas. ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/tour-de-francia/ciclista-por-que-ningun-ciclista-se-atreve-a-lanzar-un-ataque-en-la-montana-del-tour-de-francia
El departamento de salud también pidió limitar el consumo de alcohol u otras sustancias antes y mientras se sostiene la relación. ¿Usted lo haría?,https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/canada-sugiere-saltarse-los-besos-y-usar-tapabocas-durante-el-sexo-en-tiempo-de-coronavirus
"Ese país roza los cuatro millones de personas infectadas por el coronavirus, el número más alto de nación alguna. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/india-supero-sus-propias-cifras-record-de-contagios-diarios-con-covid-19
"Con la investigación, que costará $5.100 millones, el Instituto Nacional de Salud busca comprender el comportamiento de la enfermedad en ocho ciudades.  ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/colombia-hara-estudio-para-medir-el-dano-causado-por-el-covid-19
"Tenga en cuenta que usted se deberá someter a tamizajes, toma de datos y desinfección al ingresar a este evento, marcado por la ausencia del licor. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/valle/vuelve-la-rumba-y-cali-lo-sabe-asi-sera-aguaelulo-que-reactiva-este-sector-en-la-ciudad
Advierten que será difícil que una cura esté disponible hasta antes del primer semestre de 2021.Además que el proceso de distribución “tardaría un poco más”. ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/el-93-de-proyectos-de-vacunas-no-llegan-a-la-fase-iii-minsalud-pide-optimismo-moderado
"“Fue una verdadera patada en el estómago”, dijo el actor Dwayne Johnson, al afirmar que la pandemia no tiene que ver con política e insistir en el uso de tapabocas.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/entretenimiento/la-roca-revelo-que-el-y-su-familia-tuvieron-coronavirus
"El ministro señaló que, al tiempo de desarrollo, hay que sumarle el de comercialización entre países, lo que podría retrasar su llegada a Colombia.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/vacuna-contra-covid-19-no-estaria-antes-del-primer-semestre-de-2021-minsalud
La actriz confesó que mientras vivió los momentos más difíciles por la enfermedad hizo algunos trámites legales y llamadas pensando en el bienestar de su hijo Dante.,https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/mi-bebe-es-muy-pequeno-y-no-le-puedo-faltar-danna-garcia-habla-de-la-muerte-tras-el-covid-19
Testigos vieron cómo el criminal siguió por varias calles a un adolescente que corría desnudo pidiendo ayuda. Lo que el asesino le dijo a la Policía fue indignante.,https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/si-lees-esto-estoy-muerto-lo-que-escribio-joven-antes-de-ser-alcanzado-por-un-violador
"Según la Secretaría de Seguridad, el hecho sucedió cuando los dos delincuentes intentaron despojar de su motocicleta al trabajador.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/ladron-huyo-al-ver-que-su-complice-fue-herido-de-muerte-por-un-escolta-en-el-sur-de-medellin
"Esto, además de que debido a la reactivación económica de diferentes sectores, se ha registrado un aumento de pasajeros en el sistema.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/preparese-para-ver-mas-gente-en-el-metro-autorizaron-ampliar-su-capacidad-de-ocupacion
"La mandataria confirmó que estará alejada de sus labores por un lapso de 10 días. Además, aseveró que se realizó pruebas de COVID-19. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/valle/por-una-afeccion-respiratoria-clara-luz-roldan-fue-internada-en-una-clinica-de-cali
"“A mí nadie me quiere, me quiero morir”, señalaba la madre de tres hijos, palabras que lograron ser persuadidas por los uniformados.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/caribe/heroicos-policias-salvaron-a-mujer-que-estaba-a-punto-de-lanzarse-desde-un-puente-en-magdalena
"Lo hacía para disimular, pero en realidad era una peligrosa delincuente. Los elementos eran utilizados para robar joyas y, por lo menos, 200 motos al mes.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/valle/madre-del-delito-mujer-que-integraba-banda-criminal-escondia-las-armas-en-el-coche-de-su-hijo
Es el caso de una docente que aseguró que lleva más de 15 días esperando y aún no le han brindado una solución.,https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/ciudadanos-denuncian-calvario-para-poder-sacar-sus-vehiculos-de-los-patios-en-medellin
La red eléctrica alcanzó uno de los brazos del menor cuando este volvía a su casa. Duró 52 días en el hospital. ¿Qué responde Electricaribe?,https://noticias.caracoltv.com/https://noticias.caracoltv.com/caribe/nino-de-12-anos-sufrio-graves-quemaduras-tras-la-caida-de-un-cable-en-barranquilla
"Según la Fiscalía, este hecho sucedió en medio de una disputa entre bandas delincuenciales dedicadas al microtráfico.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/valle/carcel-para-una-joven-que-asesino-a-una-mujer-durante-una-rina-entre-pandillas
En las labores para salvar a los obreros trabajaron durante 12 horas organismos de emergencia de varios municipios del occidente antioqueño.,https://noticias.caracoltv.com/https://noticias.caracoltv.com/antioquia/rescatan-a-trabajadores-que-habian-caido-a-un-abismo-en-el-tunel-del-toyo
"La mujer se lanzó a un tren después de contarle a la abuela de los pequeños lo que había hecho, reportaron medios alemanes. Un sexto niño sobrevivió.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/encuentran-los-cuerpos-de-5-hermanitos-en-un-apartamento-y-la-mama-seria-la-responsable-del-crimen
"Cuando un ciudadano le increpó, dijo que lo hacía porque no tenía trabajo. No le importó ni la electricidad ni el riesgo que corría.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/como-malabarista-de-circo-arriesgo-su-vida-para-robar-cableado-electrico-y-termino-mal
El canciller de Turquía reveló parte del diálogo en el que se discutieron las garantías electorales. Stalin González también participó del encuentro.,https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/reunion-entre-henrique-capriles-y-el-gobierno-de-maduro-molesto-a-guaido
"El líder opositor se recupera en Alemania, donde le realizaron los exámenes que corroboraron el envenenamiento. Exigen explicaciones a Rusia. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/prueba-indiscutible-confirman-que-alexei-navalny-duro-critico-de-vladimir-putin-fue-envenenado
"Mientras abogados del exjefe paramilitar insisten en que sea enviado a Italia, administración Trump pide al juez que no le conceda beneficio alguno.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/ee-uu-se-la-juega-por-deportar-a-mancuso-a-colombia-estos-dos-sus-argumentos
"El lugar escogido fue el patio de San Dámaso, reservado para las visitas de Estado y a donde llegaron los fieles para escucharlo hablar de solidaridad.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/esto-es-hermoso-papa-francisco-se-reencuentra-cara-a-cara-con-fieles-luego-de-6-meses
La mujer de 22 años recibió varios disparos mientras que su pareja sufrió heridas que no fueron de gravedad. El bebé también falleció.,https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/muere-joven-embarazada-en-atentado-contra-su-novio-mientras-ambos-dormian
"Aunque realizaban un velorio, había show de chistes como último adiós a su compañero. Los sancionaron por la aglomeración en época de coronavirus.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/se-le-dano-la-risa-a-grupo-de-payasos-que-despedia-con-fiesta-a-uno-de-sus-colegas
"El plan COVAX, que integra a 172 países, busca que su acceso sea global y bajo términos de igualdad. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/ee-uu-no-participara-en-plataforma-de-la-oms-para-distribuir-la-vacuna-del-coronavirus
"Manifestantes exigen respuestas de las autoridades de Los Ángeles por el caso de Dijon Kizzee, quien fue baleado tras intentar evadir un control.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/mundo/muere-otro-hombre-afroamericano-a-manos-de-la-policia-en-ee-uu-denuncian-que-le-dieron-mas-de-20-tiros
Una bebé de 2 años con cáncer está entre las más reciente víctimas mortales. Este jueves se reportaron 9.270 nuevos infectados. ¡No baje la guardia! ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-2-de-septiembre
"José Luis Correa asegura que la práctica de pruebas ha bajado y, por eso, hay una reducción en el pico de la pandemia. Minsalud responde. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/desde-el-congreso-denuncian-manipulacion-de-cifras-para-aplanar-curva-del-covid-19
"La misión, conformada por médicos, enfermeros y otros profesionales, terminó su travesía de tres meses. Así fue su experiencia. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/heroica-labor-de-100-voluntarios-que-lucharon-contra-el-covid-en-varias-zonas-de-colombia
"Con 389 fallecidos y 8.901 contagios reportados este martes, hay que ser conscientes de la necesidad del autocuidado, hoy más que nunca. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-1-de-septiembre
"Se busca determinar si la trabajadora en Floridablanca, Santander, no desarrolló anticuerpos contra el coronavirus. Doctora Fernanda analiza el tema.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/bacteriologa-contrajo-covid-19-en-abril-y-volvio-a-dar-positivo-en-julio-puede-ser-reinfeccion
"Dijo que está en manos de todos que el aumento de casos no lleve al colapso del sistema de salud. No bajemos la guardia, hay que cumplir los protocolos de bioseguridad. ",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/cuidado-gobierno-reconoce-que-con-nueva-normalidad-puede-haber-un-rebrote-del-coronavirus
"Bogotá, Antioquia y Córdoba, donde más fallecidos se registraron. El número de contagios llegó a 615.168. Ya son 459.475 los recuperados.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/casos-de-coronavirus-colombia-31-de-agosto
"Se acabó el aislamiento, pero se debe redoblar el autocuidado. Resuelva aquí otras dudas, como si usar doble mascarilla significa o no más protección.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/tiene-barba-ojo-a-estas-recomendaciones-a-la-hora-de-usar-tapabocas
Cerca del 30% de las personas que adquieren COVID-19 presentan problemas con este sentido y con el del gusto. Aquí la explicación. ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/como-se-ve-afectado-el-olfato-por-el-coronavirus
Expertos hacen énfasis en que para que las aperturas funcionen y sean sostenibles se necesita un juicioso seguimiento de casos y aislamiento oportuno de sospechosos.  ,https://noticias.caracoltv.com/https://noticias.caracoltv.com/salud/que-significa-el-rastreo-de-contactos-de-covid-19-y-por-que-es-tan-importante
"El irrespetuoso aseguró, además, que la modelo usaba “mucho Photoshop” y recordó los nombres de sus exparejas.",https://noticias.caracoltv.com/https://noticias.caracoltv.com/entretenimiento/respuesta-de-shannon-de-lima-a-usuario-que-le-dijo-mantenida-de-james
