Noticias,links
,https://www.motor.com.co/actualidad/tecnologia/despego-carro-volador-japon-persona-manejo-dron/34803
Carro volador del futuro es un dron unipersonal,https://www.motor.com.co/actualidad/tecnologia/despego-carro-volador-japon-persona-manejo-dron/34803
Esa es la conclusión luego del primer vuelo tripulado del carro volador que hizo la firma japonesa SkyDrive. Es y se maneja como un dron gigante.,https://www.motor.com.co/actualidad/tecnologia/despego-carro-volador-japon-persona-manejo-dron/34803
,https://www.motor.com.co/actualidad/industria/toyota-yaris-cross-2021-lanzamiento-japon/34802
Toyota lanzó en Japón el Yaris Cross con dos paquetes de personalización,https://www.motor.com.co/actualidad/industria/toyota-yaris-cross-2021-lanzamiento-japon/34802
Un año antes de que llegue al mercado europeo este crossover ya está disponible en su mercado local y con paquetes de TRD y Modellista.,https://www.motor.com.co/actualidad/industria/toyota-yaris-cross-2021-lanzamiento-japon/34802
,https://www.motor.com.co/actualidad/industria/peugeot-fabricara-nuevo-208-argentina-plataforma-sera-moderna-latinoamerica/34800
Peugeot tendrá la plataforma más moderna en Latinoamérica,https://www.motor.com.co/actualidad/industria/peugeot-fabricara-nuevo-208-argentina-plataforma-sera-moderna-latinoamerica/34800
El nuevo Peugeot 208 se ensambla en Argentina y está montado sobre una plataforma que soporta ediciones eléctricas y será la más moderna de la región.,https://www.motor.com.co/actualidad/industria/peugeot-fabricara-nuevo-208-argentina-plataforma-sera-moderna-latinoamerica/34800
,https://www.motor.com.co/actualidad/industria/jaguar-land-rover-utilizaran-aluminio-reciclado-carros-nuevos/34797
Jaguar Land Rover usará aluminio reciclado en sus carros nuevos,https://www.motor.com.co/actualidad/industria/jaguar-land-rover-utilizaran-aluminio-reciclado-carros-nuevos/34797
"Como parte de un proyecto llamado REALITY, un nuevo proceso de reciclaje les permitirá reducir hasta en 26% sus emisiones de carbono.",https://www.motor.com.co/actualidad/industria/jaguar-land-rover-utilizaran-aluminio-reciclado-carros-nuevos/34797
,https://www.motor.com.co/actualidad/industria/rolls-royce-silver-spectre-shootng-brake/34792
"Rolls-Royce Silver Spectre Shooting Brake, exclusividad pura",https://www.motor.com.co/actualidad/industria/rolls-royce-silver-spectre-shootng-brake/34792
"Solo se fabricarán siete unidades de esta conversión diseñada por Niels van Roij, de la cual no se anunció su precio.",https://www.motor.com.co/actualidad/industria/rolls-royce-silver-spectre-shootng-brake/34792
,https://www.motor.com.co/actualidad/industria/bmw-3-0-cs-modificado-speedkore/34789
Sensacional BMW 3.0 CS modificado por SpeedKore,https://www.motor.com.co/actualidad/industria/bmw-3-0-cs-modificado-speedkore/34789
Los especialistas de SpeedKore acaban de presentar esta modificación hecha sobre un BMW de 1974 y construida especialmente para Robert Downey Jr.,https://www.motor.com.co/actualidad/industria/bmw-3-0-cs-modificado-speedkore/34789
,https://www.motor.com.co/actualidad/tecnologia/toyota-camino-luna-lunar-cuiser-agencia-espacial-japonesa/34796
Toyota en camino a la luna con el 'Lunar Cruiser',https://www.motor.com.co/actualidad/tecnologia/toyota-camino-luna-lunar-cuiser-agencia-espacial-japonesa/34796
"Tendrá protecciones para soportar la radiación y temperaturas extremas, capacidad todo terreno y será eléctrico con hasta 10 mil km de autonomía.",https://www.motor.com.co/actualidad/tecnologia/toyota-camino-luna-lunar-cuiser-agencia-espacial-japonesa/34796
,https://www.motor.com.co/actualidad/deportes-a-motor/septimo-puesto-sebastian-montoya-f4-italia-calderon-12-super-formula-japon/34795
Sebastián Montoya logró un Séptimo lugar y TAtiana CAlderón terminó 12,https://www.motor.com.co/actualidad/deportes-a-motor/septimo-puesto-sebastian-montoya-f4-italia-calderon-12-super-formula-japon/34795
Montoya tuvo su mejor desempeño en la tercera de tres carreras en la F4. Calderón remontó desde el puesto 18 en su debut en la Súper Fórmula japonesa.,https://www.motor.com.co/actualidad/deportes-a-motor/septimo-puesto-sebastian-montoya-f4-italia-calderon-12-super-formula-japon/34795
,https://www.motor.com.co/actualidad/deportes-a-motor/hamilton-gano-gran-premio-belgica-desempeno-perfecto/34794
Hamilton dominó el GP de Bélgica con puntaje casi perfecto,https://www.motor.com.co/actualidad/deportes-a-motor/hamilton-gano-gran-premio-belgica-desempeno-perfecto/34794
"Hizo la Pole, arrancó de forma impecable y siempre mantuvo su ventaja. Bottas llegó segundo y Verstappen tercero. Ricciardo logró la vuelta rápida.",https://www.motor.com.co/actualidad/deportes-a-motor/hamilton-gano-gran-premio-belgica-desempeno-perfecto/34794
,https://www.motor.com.co/actualidad/industria/tuneles-largos-colombia/34793
Los otros túneles de Colombia,https://www.motor.com.co/actualidad/industria/tuneles-largos-colombia/34793
El 4 de septiembre se inaugura el túnel de La Línea. Los túneles más largos de Latinoamérica están en Colombia.,https://www.motor.com.co/actualidad/industria/tuneles-largos-colombia/34793
,https://www.motor.com.co/actualidad/industria/fiat-usara-plataforma-cmp-carros-pequenos/34790
Fiat usará la plataforma CMP para sus vehículos pequeños,https://www.motor.com.co/actualidad/industria/fiat-usara-plataforma-cmp-carros-pequenos/34790
"Gracias a la alianza entre FCA y PSA, los vehículos pequeños de Fiat se montarán sobre la misma base del 208, Corsa, etc. ¿Pasará en nuestra región?",https://www.motor.com.co/actualidad/industria/fiat-usara-plataforma-cmp-carros-pequenos/34790
,https://www.motor.com.co/actualidad/industria/conductor-drifting-volqueta-40-toneladas/34786
conductor hace drifting con volqueta de 40 toneladas,https://www.motor.com.co/actualidad/industria/conductor-drifting-volqueta-40-toneladas/34786
Esta temeraria hazaña la realizó un trabajador de un terreno de excavación en Inglaterra y quedó inmortalizada en un corto video.,https://www.motor.com.co/actualidad/industria/conductor-drifting-volqueta-40-toneladas/34786
,https://www.motor.com.co/fotos/nuevos-tiempos-nuevos-logotipos/34784
Evolución: cambios de los logos en los últimos tiempos,https://www.motor.com.co/fotos/nuevos-tiempos-nuevos-logotipos/34784
Recientemente algunas firmas automotrices actualizaron sus escudos y Rolls-Royce acaba de unirse a la tendencia. Repaso al antes y después.,https://www.motor.com.co/fotos/nuevos-tiempos-nuevos-logotipos/34784
,https://www.motor.com.co/actualidad/industria/jeep-grand-wagoneer-2022-adelantos/34785
Jeep continúa la cuenta regresiva para el Grand Wagoneer 2022,https://www.motor.com.co/actualidad/industria/jeep-grand-wagoneer-2022-adelantos/34785
Nuevos adelantos continúan mostrando más partes de este SUV que se presentará la próxima semana junto con el Wrangler híbrido.,https://www.motor.com.co/actualidad/industria/jeep-grand-wagoneer-2022-adelantos/34785
,https://www.motor.com.co/actualidad/industria/volkswagen-escarabajo-tamano-enorme-camioneta-modificacion-talla-xl/34783
Hicieron un Volkswagen 'Escarabajo' en talla XL,https://www.motor.com.co/actualidad/industria/volkswagen-escarabajo-tamano-enorme-camioneta-modificacion-talla-xl/34783
"Tiene el tamaño de una camioneta por lo que su estructura y motor pertenecen a una Dodge, pero la carrocería y la cabina copia los del Beetle original",https://www.motor.com.co/actualidad/industria/volkswagen-escarabajo-tamano-enorme-camioneta-modificacion-talla-xl/34783
,https://www.motor.com.co/actualidad/industria/corvette-c8-z06-sera-v8-aspirado-potente-mundo/34782
Corvette Z06 C8 tendría el V8 aspirado más potente el mundo,https://www.motor.com.co/actualidad/industria/corvette-c8-z06-sera-v8-aspirado-potente-mundo/34782
La motorización turbo se reservaría para un futuro ZR1 e incluso se habla de una versión híbrida (Zora) con cerca de 1.000 caballos.,https://www.motor.com.co/actualidad/industria/corvette-c8-z06-sera-v8-aspirado-potente-mundo/34782
,https://www.motor.com.co/actualidad/lanzamientos/aston-martin-db5-mclaren-senna-tesla-model-bugatti-baby-juguetazos-ninos/34781
"Aston Martin, McLaren y Tesla, al ruedo con sus Juguetes",https://www.motor.com.co/actualidad/lanzamientos/aston-martin-db5-mclaren-senna-tesla-model-bugatti-baby-juguetazos-ninos/34781
Estas marcas presentaron sus juguetazos para niños con el Aston Martin DB5 y el McLaren Senna eléctricos y Tesla lo hizo para los bebés con el Model Y,https://www.motor.com.co/actualidad/lanzamientos/aston-martin-db5-mclaren-senna-tesla-model-bugatti-baby-juguetazos-ninos/34781
,https://www.motor.com.co/actualidad/lanzamientos/land-rover-discovery-sport-range-rover-evoque-actualizaron-2021/34777
Land Rover Discovery Sport y Range Rover Evoque: ¡actualizados!,https://www.motor.com.co/actualidad/lanzamientos/land-rover-discovery-sport-range-rover-evoque-actualizaron-2021/34777
Las ediciones 2021 del Discovery llega con muy ligeros cambios estéticos y ambos con nuevos sistema de conectividad y variantes híbridas de 48 voltios,https://www.motor.com.co/actualidad/lanzamientos/land-rover-discovery-sport-range-rover-evoque-actualizaron-2021/34777
,https://www.motor.com.co/actualidad/industria/lanzante-lm-25-edition-rinde-honor-mclaren/34733
En honor a McLAren: Lanzante LM 25 Edition,https://www.motor.com.co/actualidad/industria/lanzante-lm-25-edition-rinde-honor-mclaren/34733
"Esta edición de solo siete unidades, con un decorado especial y uso de componentes ligeros; rinde homenaje al McLaren F1 GTR vencedor de Le Mans 1995.",https://www.motor.com.co/actualidad/industria/lanzante-lm-25-edition-rinde-honor-mclaren/34733
,https://www.motor.com.co/actualidad/industria/ford-bronco/34696
¿Es digno de su nombre el Ford bronco Sport?,https://www.motor.com.co/actualidad/industria/ford-bronco/34696
Es el menor de la familia y está montado sobre la plataforma de la camioneta Escape pero lo sometieron a las más duras pruebas 4x4. Así le fue.,https://www.motor.com.co/actualidad/industria/ford-bronco/34696
,https://www.motor.com.co/actualidad/industria/kia-stinger-2021-motores-nuevas-caracteristicas/34778
Kia Stinger 2021 tendrá un muy ligero aumento de potencia,https://www.motor.com.co/actualidad/industria/kia-stinger-2021-motores-nuevas-caracteristicas/34778
